"Gene","Expression"
"ARMC2",52.708
"ARMC3",18.3138
"ARMC4",5.8068
"ARMC5",532.44
"ARMC6",813.4003
"ARMC7",249.6929
"ARMC8",1156.0022
"ARMC9",350.6421
"ARMCX1",788.3864
"ARMCX2",1235.0642
"ARMCX3",2546.5103
"ARMCX5",339.9218
"ARMCX6",163.9308
"ARMS2",0.4467
"ARNT2",12532.8867
"ARNTL2",53.1547
"ARNTL",647.6829
"ARNT",533.78
"ARPC1A",2206.1061
"ARPC1B",325.6639
"ARPC2",2664.88
"ARPC3",1718.8163
"ARPC4",2659.7387
"ARPC5L",1170.2959
"ARPC5",1130.0949
"ARPM1",33.9475
"ARPP19",9234.6175
"ARPP21",2154.7739
"ARR3",0
"ARRB1",1104.1876
"ARRB2",1093.4673
"ARRDC1",322.0547
"ARRDC2",1295.3657
"ARRDC3",758.9056
"ARRDC4",247.0128
"ARRDC5",0.4467
"ARSA",453.378
"ARSB",430.5974
"ARSD",181.3512
"ARSE",43.3277
"ARSF",27.694
"ARSG",148.7437
"ARSH",0.4467
"ARSI",29.0341
"ARSJ",57.6214
"ARSK",167.5042
"ART1",1.34
"ART3",163.9308
"ART4",0
"ART5",0.8934
"ARTN",11.6136
"ARV1",457.8448
"ARVCF",794.1932
"ARX",369.4026
"AR",23.2272
"AS3MT",266.6667
"ASAH1",2818.0905
"ASAH2B",27.2473
"ASAH2",16.0804
"ASAM",53.1547
"ASAP1IT1",0
"ASAP1",1672.3618
"ASAP2",1139.9218
"ASAP3",448.9112
"ASB10",0
"ASB11",0.4467
"ASB12",3.1267
"ASB13",979.1178
"ASB14",7.1468
"ASB15",0
"ASB16",10.7203
"ASB17",0
"ASB18",0.4467
"ASB1",1028.4936
"ASB2",180.9045
"ASB3",629.7309
"ASB4",10.2736
"ASB5",22.7806
"ASB6",1162.7694
"ASB7",328.7549
"ASB8",966.6108
"ASB9",4.4668
"ASCC1",587.3814
"ASCC2",434.1709
"ASCC3",474.8185
"ASCL1",150.5304
"ASCL2",4.4668
"ASCL3",0
