"Gene","Expression"
"ARHGAP33",1270.0422
"ARHGAP36",245.4929
"ARHGAP39",421.1738
"ARHGAP42",250.0959
"ARHGAP4",300.7288
"ARHGAP5",3494.4381
"ARHGAP6",118.1435
"ARHGAP8",3.0687
"ARHGAP9",75.9494
"ARHGDIA",4236.6705
"ARHGDIB",612.9651
"ARHGDIG",187.3303
"ARHGEF10L",1472.1903
"ARHGEF10",960.491
"ARHGEF11",1336.7856
"ARHGEF12",2736.4787
"ARHGEF15",103.1837
"ARHGEF16",33.7553
"ARHGEF17",2220.56
"ARHGEF18",1377.0618
"ARHGEF19",23.7821
"ARHGEF1",1482.1634
"ARHGEF2",4342.9229
"ARHGEF33",11.5075
"ARHGEF35",3.8358
"ARHGEF37",1246.2601
"ARHGEF38",0
"ARHGEF3",374.7603
"ARHGEF4",3272.7273
"ARHGEF5",4.9866
"ARHGEF6",2980.0537
"ARHGEF7",2717.6832
"ARHGEF9",1686.9965
"ARID1A",1708.4772
"ARID1B",1420.023
"ARID2",757.1922
"ARID3A",52.5508
"ARID3B",91.2927
"ARID3C",0.7672
"ARID4A",954.7372
"ARID4B",1364.3345
"ARID5A",269.6586
"ARID5B",1050.6329
"ARIH1",1158.0361
"ARIH2",1823.552
"ARL10",88.9912
"ARL11",18.0284
"ARL13A",0.7672
"ARL13B",281.1661
"ARL14",0
"ARL15",141.542
"ARL16",525.5082
"ARL17A",101.5228
"ARL17B",3.6901
"ARL1",1116.6091
"ARL2BP",1831.9908
"ARL2",1596.8546
"ARL3",1708.4772
"ARL4A",2041.0433
"ARL4C",284.6183
"ARL4D",72.4971
"ARL5A",1060.2225
"ARL5B",153.8166
"ARL5C",1.9179
"ARL6IP1",6617.9517
"ARL6IP4",1466.0529
"ARL6IP5",3396.6245
"ARL6IP6",601.8412
"ARL6",47.9478
"ARL8A",3060.6061
"ARL8B",2692.3667
"ARL9",0
"ARMC10",594.1312
"ARMC1",819.3326
"ARMC2",22.2478
"ARMC3",12.2746
"ARMC4",11.8911
"ARMC5",760.6444
"ARMC6",719.9463
"ARMC7",267.7407
"ARMC8",1027.2344
"ARMC9",95.1285
"ARMCX1",946.682
"ARMCX2",677.7906
"ARMCX3",2469.8888
"ARMCX5",264.2885
"ARMCX6",266.59
"ARMS2",0
"ARNT2",5577.2919
"ARNTL2",9.9731
"ARNTL",308.784
"ARNT",776.7549
"ARPC1A",1716.0338
"ARPC1B",596.9697
"ARPC2",2105.8688
"ARPC3",1799.0027
"ARPC4",2188.5501
"ARPC5L",465.2858
"ARPC5",2291.9064
"ARPM1",8.4388
"ARPP19",6410.0499
"ARPP21",1037.5911
"ARR3",0
"ARRB1",397.3916
"ARRB2",1119.6778
"ARRDC1",432.2977
"ARRDC2",747.9862
"ARRDC3",1037.2075
"ARRDC4",1221.7108
"ARRDC5",1.9179
"ARSA",426.5439
"ARSB",496.7395
"ARSD",390.1036
"ARSE",19.5627
"ARSF",15.3433
